property_id,borough,postcode,property_type,bedrooms,bathrooms,monthly_rent_gbp,listing_date,lease_start_date,lease_end_date,status,letting_agent,landlord_type,epc_rating,year_built,service_charge_gbp,furnished
PROP0001,Haringey,N4 1AB,Flat,2,2,1950,2022-04-15,2022-06-04,2024-06-03,Under Offer,Savills,Estate Agency,C,1929,151.61,Furnished
PROP0002,Greenwich,SE3 5AE,Flat,3,2,2630,2023-08-27,2023-09-20,2024-09-19,Void,Knight Frank,Estate Agency,C,1997,100.98,Furnished
PROP0003,Wandsworth,SW18 5AP,Flat,2,1,2260,2022-02-14,2022-04-08,2023-04-08,Let,Direct,Private Landlord,C,1973,57.69,Furnished
PROP0004,Hackney,E9 6AF,Semi-Detached House,3,3,4060,2022-04-14,2022-05-15,2023-05-15,Let,Purplebricks,Housing Association,C,1989,0.0,Part Furnished
PROP0005,Haringey,N4 4AA,Flat,1,1,1610,2022-06-17,2022-07-23,2023-07-23,Let,Countrywide,Corporate Landlord,C,1951,80.32,Furnished
PROP0006,Hammersmith and Fulham,SW6 9AN,Maisonette,2,2,2890,2023-02-10,2023-03-30,2024-03-29,Let,Knight Frank,Housing Association,C,1995,175.38,Part Furnished
PROP0007,Wandsworth,SW12 7AP,Terraced House,3,2,3240,2022-02-18,2022-03-04,2023-03-04,Available,Direct,Private Landlord,D,1967,0.0,Unfurnished
PROP0008,Greenwich,SE3 7AE,Studio,0,1,1260,2022-04-28,2022-06-17,2024-06-16,Void,Purplebricks,Private Landlord,D,1900,0.0,Part Furnished
PROP0009,Hammersmith and Fulham,W12 3AN,Detached House,5,5,7050,2022-04-19,2022-06-05,2023-06-05,Void,Countrywide,Housing Association,E,2017,0.0,Furnished
PROP0010,Newham,E15 8AB,Flat,1,1,1540,2022-11-11,2022-12-03,2023-12-03,Let,Savills,Private Landlord,E,1998,37.73,Part Furnished
PROP0011,Lewisham,SE6 6AL,Maisonette,1,1,1970,2023-09-14,2023-10-18,2024-10-17,Under Offer,Countrywide,Corporate Landlord,E,1957,36.3,Furnished
PROP0012,Tower Hamlets,E1 1AH,Flat,3,2,3050,2022-08-14,2022-08-21,2023-08-21,Available,Foxtons,Housing Association,B,1965,71.4,Part Furnished
PROP0013,Lewisham,SE13 2AB,Flat,1,1,1680,2023-08-08,2023-09-20,2024-09-19,Let,Haart,Estate Agency,D,1945,127.07,Unfurnished
PROP0014,Ealing,W5 4AN,Detached House,5,4,5510,2022-04-11,2022-04-21,2023-04-21,Available,Savills,Housing Association,D,1917,0.0,Unfurnished
PROP0015,Southwark,SE1 3AJ,Flat,1,1,1820,2023-07-18,2023-07-31,2024-07-30,Available,Foxtons,Private Landlord,D,1961,64.12,Unfurnished
PROP0016,Hammersmith and Fulham,W6 5AF,Flat,2,2,2900,2022-09-29,2022-11-25,2023-11-25,Let,Haart,Housing Association,A,1974,220.72,Furnished
PROP0017,Waltham Forest,E10 2AF,Flat,1,1,1400,2023-06-28,2023-07-15,2024-07-14,Under Offer,Savills,Housing Association,D,1915,282.48,Part Furnished
PROP0018,Lambeth,SE11 6AF,Semi-Detached House,3,2,3220,2023-11-05,2023-12-19,2025-12-18,Let,Hunters,Housing Association,C,1950,0.0,Furnished
PROP0019,Haringey,N15 4AN,Semi-Detached House,3,2,3320,2022-03-16,2022-03-23,2023-03-23,Available,Savills,Private Landlord,C,1916,0.0,Unfurnished
PROP0020,Hammersmith and Fulham,SW6 2AE,Flat,1,1,1980,2023-03-25,2023-05-24,2025-05-23,Available,Foxtons,Corporate Landlord,C,1914,266.91,Part Furnished
PROP0021,Greenwich,SE3 1AB,Flat,2,1,2040,2022-12-18,2023-01-07,2025-01-06,Available,Hunters,Estate Agency,D,2006,83.0,Furnished
PROP0022,Camden,NW1 2AE,Studio,0,1,1740,2022-06-15,2022-08-08,2023-08-08,Available,Direct,Private Landlord,E,1904,0.0,Unfurnished
PROP0023,Newham,E15 2AH,Semi-Detached House,3,3,2670,2023-01-09,2023-03-07,2024-03-06,Under Offer,Countrywide,Housing Association,E,2013,0.0,Unfurnished
PROP0024,Newham,E15 4AG,Detached House,4,4,4360,2022-07-01,2022-08-03,2023-08-03,Let,Purplebricks,Estate Agency,B,2000,0.0,Part Furnished
PROP0025,Tower Hamlets,E1 4AJ,Terraced House,2,1,2710,2023-04-17,2023-05-16,2024-05-15,Void,Countrywide,Housing Association,C,1935,0.0,Furnished
PROP0026,Brent,NW10 5AA,Flat,3,2,2640,2023-07-04,2023-08-01,2024-07-31,Let,Hunters,Housing Association,B,1976,130.37,Part Furnished
PROP0027,Brent,NW10 9AF,Flat,3,2,2410,2023-08-14,2023-09-02,2024-09-01,Let,Direct,Private Landlord,C,1955,20.99,Part Furnished
PROP0028,Hammersmith and Fulham,SW6 5AN,Flat,2,1,2840,2022-11-04,2022-12-13,2023-12-13,Available,Purplebricks,Estate Agency,B,1924,126.13,Unfurnished
PROP0029,Haringey,N15 6AL,Detached House,4,3,4410,2023-02-20,2023-04-03,2024-04-02,Let,Countrywide,Estate Agency,D,1956,0.0,Part Furnished
PROP0030,Lambeth,SE11 5AF,Terraced House,3,2,2920,2023-06-12,2023-07-31,2025-07-30,Available,Savills,Housing Association,C,1918,0.0,Furnished
PROP0031,Hackney,E9 7AF,Flat,2,1,2660,2022-03-16,2022-04-21,2023-04-21,Under Offer,Countrywide,Estate Agency,B,1983,206.29,Furnished
PROP0032,Brent,NW2 8AN,Terraced House,3,2,2760,2022-02-21,2022-04-04,2023-04-04,Under Offer,Savills,Estate Agency,E,1976,0.0,Unfurnished
PROP0033,Brent,NW6 5AF,Studio,0,1,1200,2023-06-01,2023-07-05,2025-07-04,Let,Knight Frank,Estate Agency,C,1998,0.0,Part Furnished
